"","Response","Precision","Recall","F1 Score","Number of occurrences"
"游릭","utter_science_direct","100.0%","100.0%","100.0%","1"
"游릭","utter_doaj","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_direta_entrevista","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_indireta_internet","100.0%","100.0%","100.0%","1"
"游릭","utter_revisao_sistematica","100.0%","100.0%","100.0%","1"
"游릭","utter_plagio/consequencias","100.0%","100.0%","100.0%","1"
"游릭","utter_plagio/evitar","100.0%","100.0%","100.0%","1"
"游릭","utter_revisao/revisao_gramatica","100.0%","100.0%","100.0%","1"
"游릭","utter_nature_research_journals","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_direta_internet","100.0%","100.0%","100.0%","1"
"游릭","utter_estruturacao_artigos","100.0%","100.0%","100.0%","1"
"游릭","utter_explicar_citacao_direta","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_direta_jornal","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_indireta_livro","100.0%","100.0%","100.0%","1"
"游릭","utter_despedir","100.0%","100.0%","100.0%","1"
"游릭","utter_abnt/margens","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_indireta_dissertacao","100.0%","100.0%","100.0%","1"
"游릭","utter_navegador","100.0%","100.0%","100.0%","1"
"游릭","utter_revisao_bibliografica","100.0%","100.0%","100.0%","1"
"游릭","utter_biblio_citacoes","100.0%","100.0%","100.0%","1"
"游릭","utter_pubmed","100.0%","100.0%","100.0%","1"
"游릭","utter_abnt","100.0%","100.0%","100.0%","3"
"游릭","utter_criacao","100.0%","100.0%","100.0%","1"
"游릭","utter_referencia_livro","100.0%","100.0%","100.0%","1"
"游릭","utter_saiba_mais","100.0%","100.0%","100.0%","1"
"游릭","action_iniciar_artigo","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_indireta_doc_legal","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_direta_doc_legal","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_indireta_revista","100.0%","100.0%","100.0%","1"
"游릭","utter_plagio/detectar","100.0%","100.0%","100.0%","1"
"游릭","utter_originalidade","100.0%","100.0%","100.0%","2"
"游릭","utter_originalidade/definicao_importancia","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_direta_dissertacao","100.0%","100.0%","100.0%","1"
"游릭","utter_explicar_biblio_citacoes","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_direta_livro","100.0%","100.0%","100.0%","1"
"游릭","utter_scopus","100.0%","100.0%","100.0%","1"
"游릭","action_avancar_estagio_artigo","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_direta_revista","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_indireta_jornal","100.0%","100.0%","100.0%","1"
"游릭","utter_revisao/revisao_coesao","100.0%","100.0%","100.0%","1"
"游릭","action_listen","100.0%","100.0%","100.0%","80"
"游릭","utter_revisao/revisao_ortografia","100.0%","100.0%","100.0%","1"
"游릭","utter_referencia_entrevista","100.0%","100.0%","100.0%","1"
"游릭","utter_explicar_bibliografia","100.0%","100.0%","100.0%","1"
"游릭","utter_originalidade/dicas","100.0%","100.0%","100.0%","1"
"游릭","utter_google_scholar","100.0%","100.0%","100.0%","1"
"游릭","utter_pesquisa_experimental","100.0%","100.0%","100.0%","1"
"游릭","utter_pesquisa_empirica","100.0%","100.0%","100.0%","1"
"游릭","utter_web_of_science","100.0%","100.0%","100.0%","1"
"游릭","utter_referencia_doc_legal","100.0%","100.0%","100.0%","1"
"游릭","utter_referencia_jornal","100.0%","100.0%","100.0%","1"
"游릭","utter_citacao_indireta_entrevista","100.0%","100.0%","100.0%","1"
"游릭","utter_abnt/conceito","100.0%","100.0%","100.0%","1"
"游릭","utter_plagio/definicao","100.0%","100.0%","100.0%","1"
"游릭","utter_referencia_dissertacao","100.0%","100.0%","100.0%","1"
"游릭","utter_pesquisa_qualitativa","100.0%","100.0%","100.0%","1"
"游릭","utter_referencia_revista","100.0%","100.0%","100.0%","1"
"游릭","utter_abnt/consultar","100.0%","100.0%","100.0%","1"
"游릭","utter_explicar_citacao","100.0%","100.0%","100.0%","1"
"游릭","utter_exploracao_inicial","100.0%","100.0%","100.0%","1"
"游릭","utter_explicar_citacao_indireta","100.0%","100.0%","100.0%","1"
"游릭","utter_fontes_confiaveis","100.0%","100.0%","100.0%","1"
"游릭","utter_open_stax","100.0%","100.0%","100.0%","1"
"游릭","utter_revisao","100.0%","100.0%","100.0%","3"
"游릭","utter_plagio","100.0%","100.0%","100.0%","4"
"游릭","utter_arxiv","100.0%","100.0%","100.0%","1"
"游릭","utter_referencia_internet","100.0%","100.0%","100.0%","1"
"游릭","utter_gerador_biblio_citacoes","100.0%","100.0%","100.0%","1"
"游릭","utter_cumprimentar","100.0%","100.0%","100.0%","1"
"游릭","utter_explorador","100.0%","100.0%","100.0%","1"
"游릭","utter_menu","100.0%","100.0%","100.0%","1"
"游릭","utter_fallback","100.0%","100.0%","100.0%","1"
"游릭","action_reportar_estagio_artigo","100.0%","100.0%","100.0%","1"
